SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.0.0.UWCH,EU27,1,0,0,0,UWCH,European Union,01 Revenue,Compensation of employees: households and NPISH ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3549.558,3763.078,3925.265,4066.594,4171.733,4301.956,4464.351,4673.749,4920.495,5178.78,5106.896,5228.798,5370.023,5443.895,5508.228,5622.277,5786.998,5971.911,6227.237,6491.588,6750.101,6647.265,7060.713,7574.049,8127.688,NA,NA,NA,,,,,,,
EU15.1.0.0.0.UWCH,EU15,1,0,0,0,UWCH,European Union (15 countries),01 Revenue,Compensation of employees: households and NPISH ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3425.975,3570.521,3746.337,3879.539,4123.166,4433.007,4606.088,4749.041,4814.589,5005.977,5176.828,5415.603,5683.845,5735.586,5598.172,5755.742,5893.416,6046.594,6098.435,6284.085,6586.124,6642.531,6808.909,7059.782,7329.464,7217.203,7700.091,8240.805,8766.584,9258.078,9621.622,9920.793,,,,,,,
EA19.1.0.0.0.UWCH,EA19,1,0,0,0,UWCH,Euro area (19 countries),01 Revenue,Compensation of employees: households and NPISH ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2827.011,2924.495,2963.382,3050.617,3208.168,3380.953,3517.33,3642.104,3742.587,3852.77,3975.332,4146.859,4340.445,4535.151,4523.08,4600.201,4709.669,4762.28,4813.947,4920.652,5057.454,5208.8,5405.927,5626.158,5838.951,5730.771,6078.537,6510.424,6960.33,NA,NA,NA,,,,,,,
EA20.1.0.0.0.UWCH,EA20,1,0,0,0,UWCH,Euro area,01 Revenue,Compensation of employees: households and NPISH ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3221.601,3395.184,3532.407,3657.505,3759.561,3870.217,3993.016,4165.458,4362.241,4561.224,4548.511,4621.849,4731.152,4782.773,4833.937,4940.336,5077.614,5229.74,5428.069,5649.959,5864.276,5755.669,6103.478,6539.772,6996.131,NA,NA,NA,,,,,,,
EA12.1.0.0.0.UWCH,EA12,1,0,0,0,UWCH,Euro area (12 countries),01 Revenue,Compensation of employees: households and NPISH ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2802.385,2897.185,2932.495,3017.363,3173.992,3342.997,3476.834,3598.497,3695.559,3801.239,3916.972,4080.126,4261.42,4445.376,4438.85,4516.015,4622.245,4672.357,4722.527,4825.836,4957.41,5102.878,5291.673,5501.574,5703.861,5592.513,5929.22,6345.156,6776.637,7130.086,7389.233,7624.219,,,,,,,
BEL.1.0.0.0.UWCH,BEL,1,0,0,0,UWCH,Belgium,01 Revenue,Compensation of employees: households and NPISH ,Mrd EURO-BEF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6614,69.6211,71.5032,74.5835,79.9669,86.1431,92.6364,97.3187,100.7488,104.7396,108.8345,111.0718,115.2909,119.4947,125.7977,131.5625,138.9797,145.5863,148.5769,153.0986,158.4463,166.1291,175.0294,184.6217,186.3573,190.532,198.9651,205.6965,209.6864,212.5601,214.6888,218.9417,226.5422,233.9637,242.5675,238.7769,253.6433,277.3688,301.1179,309.9181,319.6122,327.8275,,,,,,,
BGR.1.0.0.0.UWCH,BGR,1,0,0,0,UWCH,Bulgaria,01 Revenue,Compensation of employees: households and NPISH ,Mrd BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3799,0.65799,5.96921,9.31699,9.42187,10.03638,11.91444,13.21421,14.45256,15.85918,17.49846,19.38769,21.49279,25.57342,26.62116,27.63084,29.02693,30.72781,33.09645,34.90302,37.29308,40.34834,44.92298,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
CZE.1.0.0.0.UWCH,CZE,1,0,0,0,UWCH,Czechia,01 Revenue,Compensation of employees: households and NPISH ,Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.682,738.073,810.475,855.168,883.979,943.502,1020.066,1092.638,1156.673,1246.119,1329.211,1426.024,1541.93,1637.283,1594.954,1635.63,1677.957,1722.05,1747.653,1821.07,1905.124,2018.297,2196.08,2399.21,2571.483,2636.478,2826.977,3022.025,3267.715,3480.116,3716.776,3932.355,,,,,,,
DNK.1.0.0.0.UWCH,DNK,1,0,0,0,UWCH,Denmark,01 Revenue,Compensation of employees: households and NPISH ,Mrd DKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.983,266.46,291.931,315.768,342.006,368.467,402.55,423.097,441.046,459.344,475.478,489.505,494.798,510.861,522.72,549.861,575.202,608.115,635.85,661.466,695.519,720.4,739.359,760.84,794.92,841.697,889.682,935.019,933.265,943.209,956.102,967.12,984.75,1005.92,1036.617,1069.964,1104.33,1142.14,1180.728,1196.86,1263.501,1348.208,1409.413,1481.79,1547.357,1606.407,,,,,,,
DEU.1.0.0.0.UWCH,DEU,1,0,0,0,UWCH,Germany,01 Revenue,Compensation of employees: households and NPISH ,Mrd EURO-DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,855.811,927.736,949.357,974.597,1022.455,1031.841,1036.192,1058.241,1088.037,1131.65,1148.99,1157.444,1163.222,1168.708,1166.678,1189.713,1224.63,1272.945,1280.892,1320.212,1377.628,1432.797,1475.753,1535.824,1598.213,1661.271,1736.867,1820.404,1903.476,1899.303,1968.194,2086.958,2229.047,2345.789,2423.046,2495.599,,,,,,,
D_W.1.0.0.0.UWCH,D_W,1,0,0,0,UWCH,West Germany,01 Revenue,Compensation of employees: households and NPISH ,Mrd EURO-DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.74,466.42,481.52,492.28,511.35,531.78,560.12,585.53,610.39,638.7,689.1,745.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
EST.1.0.0.0.UWCH,EST,1,0,0,0,UWCH,Estonia,01 Revenue,Compensation of employees: households and NPISH ,Mrd EURO-EEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72099,1.08332,1.447,1.8084,2.1642,2.3961,2.4702,2.7863,3.1097,3.4373,3.8721,4.3716,5.0874,6.1535,7.5524,8.335,7.1714,6.9953,7.6411,8.2062,8.7958,9.4258,10.0195,10.643,11.5545,12.682,13.7819,13.9976,15.2577,17.2859,19.1796,20.04544,20.88696,21.86722,,,,,,,
