SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.0.0.UBGS,EU27,1,0,0,0,UBGS,European Union,"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.5331,126.4647,150.5127,133.8026,104.4517,70.5289,129.1988,206.3095,172.76,196.1768,157.4843,128.3232,139.2727,102.4263,183.4258,180.134,198.523,331.5327,410.6183,448.6918,538.4788,557.1966,563.2979,515.3777,491.2734,494.1201,567.5713,311.6753,626.3175,821.5387,828.4108,856.8364,,,,,,,
EU15.1.0.0.0.UBGS,EU15,1,0,0,0,UBGS,European Union (15 countries),"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.5146,0.3523,79.088,92.8572,116.6297,140.3878,173.5961,143.6169,106.4964,71.188,117.1715,182.3106,156.1133,176.1122,138.0182,121.3323,142.7581,127.8892,170.5798,162.5497,189.868,305.2877,357.1221,379.6816,465.3263,466.1338,487.8454,450.0929,416.254,459.9384,539.5028,283.0629,541.3927,723.454,732.1825,755.2355,,,,,,,
EA19.1.0.0.0.UBGS,EA19,1,0,0,0,UBGS,Euro area (19 countries),"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1621,111.4541,139.4238,126.5139,94.757,63.5217,118.0363,195.4707,162.6103,183.812,143.6997,120.8759,148.0497,122.5059,164.887,156.1065,170.4785,296.7067,360.1308,401.6467,479.1423,491.163,500.9749,469.5575,424.6845,420.867,508.2937,281.9872,518.4288,709.6904,720.1563,745.9839,,,,,,,
EA20.1.0.0.0.UBGS,EA20,1,0,0,0,UBGS,Euro area,"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.7434,110.2359,136.7096,124.9718,93.429,62.4769,116.6946,192.7736,159.3999,180.9316,140.4999,117.453,144.3489,117.5876,162.3649,155.3524,169.7096,295.9888,359.2438,401.4774,479.2379,491.6874,501.2788,469.107,424.4594,417.327,506.6884,277.7818,516.9985,707.8469,718.2293,744.0567,,,,,,,
EA12.1.0.0.0.UBGS,EA12,1,0,0,0,UBGS,Euro area (12 countries),"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.5349,-4.999,66.999,77.1842,93.8329,115.675,143.8364,131.489,98.4784,66.6408,121.7131,199.1174,165.8256,188.8869,149.8477,130.1199,159.0205,134.809,165.9441,157.8914,171.5348,292.7477,353.8971,393.9345,472.8026,483.282,491.7543,460.4952,414.3984,409.0697,500.6516,287.7615,506.5167,697.2042,707.0679,730.9852,,,,,,,
DU15.1.0.0.0.UBGS,DU15,1,0,0,0,UBGS,EU15 (including D_W West-Germany),"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.84957,-2.28286,1.50226,23.69444,38.13699,50.18523,74.4519,53.08186,34.80395,21.79114,47.25162,69.21889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
DA12.1.0.0.0.UBGS,DA12,1,0,0,0,UBGS,EA12 (including D_W West-Germany),"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,0.76918,1.17771,1.93895,4.77272,6.09481,4.56249,4.27192,6.4249,8.89829,8.21407,2.02839,8.73052,-0.33262,7.19748,21.09608,4.45792,-31.90846,-17.59746,-9.5828,13.45071,31.17293,38.75032,72.40903,52.40548,50.48753,43.48285,55.50564,62.1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
BEL.1.0.0.0.UBGS,BEL,1,0,0,0,UBGS,Belgium,"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,Mrd EURO-BEF,0.01015,-0.00045,0.12994,-0.04319,0.10481,0.13658,0.05034,0.3195,0.33041,0.45652,0.92157,0.99507,1.52981,1.28736,0.99854,0.6783,1.00076,0.22559,-0.1798,-0.89643,-1.87652,-1.02671,-0.69041,1.63733,1.96503,2.50224,4.12379,3.92296,5.05484,5.21808,5.01674,3.92852,5.40274,6.84228,8.30436,8.1042,6.7972,8.7046,8.4665,9.586,7.3443,9.6405,15.2407,15.0652,14.5268,12.515,13.1442,14.2092,2.3665,7.1416,5.4269,-0.8438,-1.107,0.9834,0.8967,2.8539,0.7651,-0.0677,-6.0266,2.2504,6.6948,9.4571,-8.2316,-3.5757,4.25748,4.67041,5.83234,,,,,,,
BGR.1.0.0.0.UBGS,BGR,1,0,0,0,UBGS,Bulgaria,"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,Mrd BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01521,0.01682,0.01236,0.05101,0.12013,0.24438,2.41495,1.80919,-1.14582,-1.49287,-2.88757,-2.71698,-3.72974,-4.59421,-6.89041,-9.16259,-11.95124,-14.37522,-6.04108,-2.38475,0.12843,-2.70967,-0.45958,-0.96497,0.74899,4.68771,4.46324,2.92536,3.99841,3.05636,3.46767,1.87559,7.59918,3.80425,3.30536,1.29136,,,,,,,
CZE.1.0.0.0.UBGS,CZE,1,0,0,0,UBGS,Czechia,"01 Balances with the rest of the world, national accounts",Net exports of goods and services at current prices (National accounts) ,Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8745,58.7657,15.3627,15.1311,-18.456,-48.937,-88.374,-81.617,-6.746,-10.782,-44.489,-33.514,-35.693,-42.844,19.298,76.505,96.127,93.498,87.358,153.966,122.066,153.593,194.776,235.906,275.242,279.422,371.444,394.564,332.809,358.932,392.917,234.773,56.918,380.515,514.4852,457.922,466.2807,,,,,,,
