SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.99.0.DXGT,EU27,1,0,99,0,DXGT,European Union,01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146.627,1291.5,1454.033,1556.506,1744.325,1864.325,NA,NA,NA,2499.32,2519.695,2752.874,2967.456,3309.176,3592.959,3727.608,3053.586,3597.67,4013.774,4155.791,4168.304,4256.2,4444.779,4490.962,4839.235,5073.953,5203.615,4788.166,5623.898,6815.464,6657.111,6633.368,6888.832,7208.224,,,,,,,
EU15.1.0.99.0.DXGT,EU15,1,0,99,0,DXGT,European Union (15 countries),01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202.364,1219.004,1247.097,1398.496,1559.67,1675.902,1891.248,1996.184,2096.863,2505.017,2585.324,2603.979,2588.032,2780.259,2997.3,3321.875,3508.752,3594.717,2936.265,3449.356,3840.271,3962.035,3993.885,4026.159,4211.755,4194.446,4490.283,4699.678,4798.601,4339.315,5072.977,6172.133,5943.223,5912.997,6130.356,6389.141,,,,,,,
EA19.1.0.99.0.DXGT,EA19,1,0,99,0,DXGT,Euro area (19 countries),01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034.475,1159.63,1306.032,1396.815,1553.463,1660.532,1743.461,2083.622,2180.895,2205.696,2214.214,2397.974,2569.96,2848.133,3081.19,3175.523,2605.781,3050.643,3390.672,3515.771,3519.759,3582.612,3732.556,3761.797,4039.173,4229.771,4320.491,3940.026,4630.099,5621.195,5448.807,5429.374,5637.878,5891.741,,,,,,,
EA20.1.0.99.0.DXGT,EA20,1,0,99,0,DXGT,Euro area,01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037.808,1163.212,1309.574,1400.368,1557.283,1664.597,NA,NA,NA,2210.884,2219.678,2404.428,2577.03,2856.385,3090.195,3185.108,2613.296,3059.549,3400.255,3525.399,3529.291,3593.044,3744.219,3774.286,4053.374,4244.522,4335.841,3955.048,4648.619,5645.479,5471.873,5453.176,5662.762,5917.986,,,,,,,
EA12.1.0.99.0.DXGT,EA12,1,0,99,0,DXGT,Euro area (12 countries),01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980.275,997.727,1020,1142.168,1286.2,1375.489,1527.561,1632.494,1717.161,2048.903,2143.253,2165.31,2168.489,2344.262,2505.911,2769.12,2986.385,3069.028,2520.122,2943.527,3262.416,3376.731,3377.632,3438.507,3585.124,3611.273,3874.189,4049.859,4136.423,3762.828,4417.398,5355.941,5186.669,5166.135,5360.092,5597.743,,,,,,,
DU15.1.0.99.0.DXGT,DU15,1,0,99,0,DXGT,EU15 (including D_W West-Germany),01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,45.3,48.094,50.472,55.118,61.546,68.223,74.903,79.084,91.68,108.517,125.695,140.136,157.282,196.416,265.582,274.418,334.244,377.986,407.755,476.263,540.529,622.597,683.943,734.708,851.341,931.323,854.752,908.942,986.929,1127.519,1163.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
DA12.1.0.99.0.DXGT,DA12,1,0,99,0,DXGT,EA12 (including D_W West-Germany),01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,31.6812,33.9789,35.8363,39.2023,44.4509,49.8182,54.9574,58.9829,69.4146,82.8674,96.8532,107.9026,123.4886,156.2761,212.7568,217.5214,268.92,303.522,328.0763,382.4425,427.081,490.9891,541.836,582.8799,674.9282,736.6811,686.6608,734.6189,798.0999,915.6995,946.6019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
BEL.1.0.99.0.DXGT,BEL,1,0,99,0,DXGT,Belgium,01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,3.5656,3.6652,4.0325,4.5092,5.2019,5.9515,6.3834,6.6011,7.9416,9.871,11.3468,12.1306,14.3932,18.2069,23.7528,23.2058,29.3761,32.8721,35.3034,41.3719,46.4358,49.8142,53.4474,58.3251,65.6728,70.3488,69.9287,71.9024,77.8736,90.5025,92.2524,95.0878,94.8563,103.649,122.6797,134.9982,137.6633,157.3076,166.1,168.0913,203.9536,212.5374,228.5612,225.9698,246.6968,268.7886,292.0872,314.4486,320.8052,265.986,307.5299,341.7183,347.0884,352.956,355.2876,357.7718,359.7573,380.5904,396.27,399.1551,369.2498,465.0128,595.7279,520.3005,512.4344,529.5351,553.352,,,,,,,
BGR.1.0.99.0.DXGT,BGR,1,0,99,0,DXGT,Bulgaria,01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79432,1.87782,1.91124,2.38291,3.35569,2.49138,2.36153,2.49369,2.52938,1.59538,1.6555,1.88257,1.98064,2.85809,3.99112,3.76505,3.80374,3.70175,3.7338,5.253,5.7146,6.0628,6.6683,7.9848,9.2232,11.7483,13.512,15.2042,11.6993,15.5616,20.2647,20.7703,22.272,22.0434,22.8777,24.0218,27.7799,28.4961,29.7888,27.9671,34.8222,47.5089,44.245,43.45058,45.42393,47.67505,,,,,,,
CZE.1.0.99.0.DXGT,CZE,1,0,99,0,DXGT,Czechia,01 Foreign trade at current prices,Total exports of goods :- Foreign trade statistics ,(Mrd EUR) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0543,12.0054,13.1332,17.4638,19.8668,23.5664,24.9165,31.5003,37.2085,40.7065,43.0528,55.4598,62.7849,75.6045,89.3819,99.8091,80.9834,100.3104,117.054,122.23,122.185,131.7987,142.3642,146.979,161.2138,171.2601,177.9031,167.5973,191.5708,230.2429,236.7166,236.263,246.7124,260.9753,,,,,,,
