SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.0.0.NPTD,EU27,1,0,0,0,NPTD,European Union,01 Population,Total population (National accounts) ,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425166.93,425735.43,426262.33,426733.09,427294.73,428162.78,428746.77,429540.14,431113.69,432657.83,434266.17,435631.05,437144.38,438596.89,439962.58,440223.09,440821.75,441412.03,441783.33,442284.16,443167.45,444129.48,444812,445601.88,446469.41,446078.85,445876.31,448623.62,450894.56,452363.724,453366.247,454113.834,,,,,,,
EU15.1.0.0.0.NPTD,EU15,1,0,0,0,NPTD,European Union (15 countries),01 Population,Total population (National accounts) ,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372614.763,373574.743,374467.144,375288.824,376268.304,377497.065,378907.845,380848.146,382949.847,385056.967,387375.028,389387.749,391748.97,394026.782,395646.513,397095.444,398673.695,399954.443,401058.151,402320.533,403976.718,405779.271,407111.192,408470.837,409930.967,410676.527,411194.508,413586.571,416513.025,418468.826,420057.63,421416.091,,,,,,,
EA19.1.0.0.0.NPTD,EA19,1,0,0,0,NPTD,Euro area (19 countries),01 Population,Total population (National accounts) ,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316465.05,317187.58,317851.62,318440.87,319145.16,320139.94,321208.03,322796.01,324536.55,326225.67,327967.15,329434.96,331188.05,332830.14,333886.96,334661.62,335504.4,336230.29,336761.2,337374.72,338384.44,339474.44,340252.92,341149.83,342182.29,342760.1,342930.9,344625.53,346800.61,348279.803,349329.054,350137.561,,,,,,,
EA20.1.0.0.0.NPTD,EA20,1,0,0,0,NPTD,Euro area,01 Population,Total population (National accounts) ,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321085.08,321744.68,322386.54,322973.01,323657.76,324608.24,325508.48,327101.45,328842.11,330533.96,332278.82,333747.97,335500.8,337141.02,338193.28,338957.97,339787.32,340499.35,341015.68,341610.78,342592.43,343646.88,344382.77,345240.7,346169.35,346710.5,346853.84,348543.51,350742.93,352227.643,353271.366,354074.748,,,,,,,
EA12.1.0.0.0.NPTD,EA12,1,0,0,0,NPTD,Euro area (12 countries),01 Population,Total population (National accounts) ,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300529.53,301305.9,302021.35,302658.71,303406.15,304401.19,305540.67,307179.68,308965.44,310710.29,312516.58,314040.6,315823.43,317491.81,318566.28,319410.94,320369.54,321135.58,321707.22,322360.66,323407.02,324520.3,325322.4,326212.83,327204.43,327749.32,327940.79,329564.6,331622.88,333061.687,334123.585,334953.342,,,,,,,
DU15.1.0.0.0.NPTD,DU15,1,0,0,0,NPTD,EU15 (including D_W West-Germany),01 Population,Total population (National accounts) ,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358764.763,359852.743,359605.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
DA12.1.0.0.0.NPTD,DA12,1,0,0,0,NPTD,EA12 (including D_W West-Germany),01 Population,Total population (National accounts) ,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286679.53,287583.9,287159.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
BEL.1.0.0.0.NPTD,BEL,1,0,0,0,NPTD,Belgium,01 Population,Total population (National accounts) ,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10136.8,10156.6,10180.7,10202.4,10226.4,10251.2,10286.6,10332.8,10376.1,10421.1,10478.6,10548,10625.7,10710,10796.5,10895.6,11038.3,11106.9,11159.4,11209.1,11274.2,11331.4,11375.2,11427.1,11489,11538.7,11586.3,11680.2,11770.3,11819.735,11858.74,11896.688,,,,,,,
BGR.1.0.0.0.NPTD,BGR,1,0,0,0,NPTD,Bulgaria,01 Population,Total population (National accounts) ,1000 persons,7867.374,7943.118,8012.946,8078.145,8144.34,8204.168,8258.057,8310.226,8369.603,8434.172,8489.573,8536.395,8576.2,8620.967,8678.745,8720.742,8758.599,8804.183,8814.032,8825.94,8861.535,8891.117,8917.457,8939.738,8960.679,8960.547,8958.171,8971.358,8981.446,8876.972,8718.3,8632.3,8540.1,8472.3,8443.6,8406.07,8362.83,8312.07,8256.79,8210.62,8170.17,7913.3,7868.9,7823.56,7781.16,7739.9,7699.02,7659.76,7623.4,7585.13,7534.29,7348.33,7264.89,7160.01,7073.57,6984.23,6894.14,6803.47,6710.8,6616.73,6550.7,6507.3,6465.1,6446.6,6418.441,6395.682,6359.718,,,,,,,
CZE.1.0.0.0.NPTD,CZE,1,0,0,0,NPTD,Czechia,01 Population,Total population (National accounts) ,1000 persons,9605.267,9589.906,9627.929,9673.97,9731.108,9782.679,9824.375,9856.245,9879.7,9899.941,9861.419,9830.152,9870.983,9925.636,9991.851,10062.036,10129.378,10190.215,10245.576,10295.836,10307.693,10304.089,10318.329,10327.362,10333.722,10340.628,10345.74,10350.832,10358.793,10364.587,10336.864,10312.079,10322.627,10333.363,10337.097,10330.76,10315.35,10303.64,10294.94,10282.78,10272.5,10224.19,10200.77,10201.65,10206.92,10234.09,10266.65,10322.69,10429.69,10491.49,10517.25,10496.67,10506.87,10502.38,10503.79,10507.55,10513.67,10520.95,10534.23,10550.31,10502.15,10500.85,10759.53,10878.04,10910.674,10932.495,10954.36,,,,,,,
DNK.1.0.0.0.NPTD,DNK,1,0,0,0,NPTD,Denmark,01 Population,Total population (National accounts) ,1000 persons,4562.056,4594.018,4629.919,4666.535,4703.98,4740.778,4779,4820,4855,4879,4937.58,4963.13,4991.6,5021.86,5045.3,5059.86,5072.6,5089.14,5104.89,5117.72,5124.38,5121.7,5118.37,5114.22,5111.35,5113.03,5119.58,5127.47,5129.78,5131.88,5140.29,5154.09,5171.05,5189.33,5205.61,5230.35,5262.46,5284.91,5303.23,5320.52,5338.49,5357.29,5375.58,5389.52,5403.04,5418.56,5436.76,5460.4,5492.73,5522.59,5547.36,5570.21,5590.77,5613.26,5643.35,5682.45,5728.75,5765.1,5793.87,5816.94,5829.7,5854.42,5906.39,5947.99,5975.946,5999.849,6027.449,,,,,,,
DEU.1.0.0.0.NPTD,DEU,1,0,0,0,NPTD,Germany,01 Population,Total population (National accounts) ,1000 persons,72777.683,73340.128,73987.949,74676.166,75279.841,75924.87,76561.16,76912.006,77254.808,77869.862,78129.336,78272.816,78648.233,78896.321,78927.072,78633.344,78296.911,78119.866,78051.907,78086.419,78248.562,78367.832,78293.329,78088.35,77818.891,77645.168,77680.712,77800.136,78104.678,78711.033,79392.43,79973,80500,80946,81147,81308,81466,81510,81446,81422,81457,81517,81578,81549,81456,81337,81173,80992,80764,80483,80284,80275,80426,80646,80983,81687,82349,82657,82906,83093,83161,83196,83798,84514,84787.616,84985.827,85129.261,,,,,,,
D_W.1.0.0.0.NPTD,D_W,1,0,0,0,NPTD,West Germany,01 Population,Total population (National accounts) ,1000 persons,55433,56185,56837,57389,57971,58619,59148,59286,59500,60067,60651,61284,61672,61976,62054,61829,61531,61400,61326,61359,61566,61682,61638,61423,61175,61024,61066,61077,61449,62063,63253,64074,64865,65535,65858,67458,67744,66648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
