SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.319.0.UBLGAP,EU27,1,0,319,0,UBLGAP,European Union,01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.996,-3.2623,-3.0178,-2.9029,-2.579,-2.4275,-2.1466,-3.0307,-4.1678,-4.8301,-3.4493,-2.3239,-1.2879,-1.0128,-0.9371,-0.791,-1.0003,-0.7901,-1.0657,-3.5431,-4.0953,-3.7531,-3.4287,-2.7887,-2.7186,-2.8541,,,,,,,
EU15.1.0.319.0.UBLGAP,EU15,1,0,319,0,UBLGAP,European Union (15 countries),01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.2989,-3.3983,-2.515,-2.0227,-1.4207,-1.8015,-2.5456,-3.0451,-3.1061,-3.0282,-2.7102,-2.5237,-2.3458,-3.2621,-4.4906,-5.1491,-3.6731,-2.9439,-1.6821,-1.6466,-1.5845,-1.2087,-1.3283,-1.0555,-1.3309,-4.0651,-4.4657,-3.933,-3.7111,-2.9504,-2.7587,-2.7875,,,,,,,
EA19.1.0.319.0.UBLGAP,EA19,1,0,319,0,UBLGAP,Euro area (19 countries),01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5429,-2.3641,-1.8526,-2.499,-3.1585,-3.3248,-3.0733,-3.0432,-2.8044,-2.5125,-2.2809,-3.1673,-4.2801,-5.08,-3.5572,-2.3946,-1.3334,-1.0275,-0.9456,-0.8581,-1.1301,-0.8167,-1.1302,-3.6133,-4.4855,-4.0674,-3.6091,-2.7592,-2.6458,-2.7988,,,,,,,
EA20.1.0.319.0.UBLGAP,EA20,1,0,319,0,UBLGAP,Euro area,01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1586,-3.3283,-3.0811,-3.0577,-2.8107,-2.5191,-2.2952,-3.1785,-4.2913,-5.083,-3.5714,-2.4,-1.3431,-1.0353,-0.9495,-0.8563,-1.1241,-0.8168,-1.1286,-3.6129,-4.4763,-4.0544,-3.6003,-2.7605,-2.6467,-2.7966,,,,,,,
EA12.1.0.319.0.UBLGAP,EA12,1,0,319,0,UBLGAP,Euro area (12 countries),01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.6531,-3.5016,-2.5171,-2.3466,-1.8264,-2.4665,-3.1504,-3.3215,-3.0816,-3.056,-2.8106,-2.499,-2.2514,-3.1337,-4.2641,-5.0887,-3.5583,-2.3774,-1.3091,-1.0098,-0.94,-0.8591,-1.1441,-0.7991,-1.1297,-3.5851,-4.4791,-4.1135,-3.634,-2.7579,-2.6475,-2.8052,,,,,,,
BEL.1.0.319.0.UBLGAP,BEL,1,0,319,0,UBLGAP,Belgium,01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.1182,-3.2087,-2.2503,-0.9181,-1.2067,-1.3329,-0.1607,-0.0742,-1.2352,-0.438,-3.048,-0.4642,-1.6762,-2.0318,-4.4107,-3.8868,-4.4655,-3.8679,-2.3733,-2.8625,-2.3496,-2.2088,-0.6367,-1.1409,-2.5854,-5.7051,-4.6563,-4.2114,-4.3088,-4.3574,-4.4644,-4.947,,,,,,,
BGR.1.0.319.0.UBLGAP,BGR,1,0,319,0,UBLGAP,Bulgaria,01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.8078,-12.2967,1.9947,0.7687,2.3668,1.6873,1.9017,-0.6596,0.0429,1.7036,1.3159,2.077,-0.9259,0.2296,-3.9224,-3.4445,-1.8929,-1.0107,-0.5283,-4.8461,-1.4942,0.5185,1.7348,1.81,1.8524,-2.4719,-4.0235,-3.4028,-2.2721,-2.6822,-2.8949,-3.0477,,,,,,,
CZE.1.0.319.0.UBLGAP,CZE,1,0,319,0,UBLGAP,Czechia,01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.84,-3.1837,-2.0934,-3.3391,-5.8445,-6.1165,-6.7313,-2.6612,-4.1547,-4.2115,-3.1742,-4.0634,-4.6676,-3.6856,-2.3957,-2.9001,0.1443,-0.9113,-0.4804,0.7322,0.5248,-0.1414,-1.0816,-4.1529,-4.6904,-3.3503,-3.2075,-1.6953,-1.7525,-1.7495,,,,,,,
DNK.1.0.319.0.UBLGAP,DNK,1,0,319,0,UBLGAP,Denmark,01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5236,-2.7808,-2.0416,-1.0192,-0.0489,-0.1144,-0.1778,-0.3774,0.0284,1.2536,3.657,2.5411,3.0137,2.3769,-0.3109,-0.5442,-0.1058,-1.1044,0.8592,3.1497,0.5114,1.0749,1.881,1.143,4.763,3.0241,4.0826,4.0823,3.9268,2.7928,1.5327,0.942,,,,,,,
DEU.1.0.319.0.UBLGAP,DEU,1,0,319,0,UBLGAP,Germany,01 Based on potential GDP (ESA 2010),Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ,(Percentage of potential GDP at current prices) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1675,-3.9687,-2.662,-2.3427,-9.1712,-3.1391,-2.7422,-2.6656,-2.139,-2.5937,-4.0472,-4.2059,-3.0713,-2.6426,-2.4193,-1.9903,-0.815,-1.0241,-0.7006,-3.6691,-1.5068,-0.1581,0.5962,0.923,1.1299,0.9815,0.5074,1.1815,0.6566,-2.6427,-2.9172,-2.2383,-2.1304,-1.3888,-1.2793,-1.4669,,,,,,,
