SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.0.0.UXGS,EU27,1,0,0,0,UXGS,European Union,01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1795.663,1902.66,2110.923,2243.956,2370.585,2804.855,2934.916,2988.478,2997.855,3281.304,3560.593,3977.86,4337.629,4517.826,3807.93,4384.633,4843.25,5045.988,5126.157,5320.325,5684.025,5788.741,6248.068,6573.091,6850.938,6210.896,7340.895,8916.629,8929.211,9118.198,9477.046,9917.682,,,,,,,
EU15.1.0.0.0.UXGS,EU15,1,0,0,0,UXGS,European Union (15 countries),01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526.408,1574.234,1604.725,1773.224,1957.727,2084.329,2333.542,2457.495,2606.481,3082.544,3195.782,3228.564,3197.629,3468.067,3741.117,4167.034,4436.406,4533.917,3827.927,4390.412,4835.257,5053.832,5099.329,5285.428,5681.018,5722.428,6127.742,6425.062,6690.064,6011.42,7045.325,8582.618,8544.33,8747.997,9080.854,9462.895,,,,,,,
EA19.1.0.0.0.UXGS,EA19,1,0,0,0,UXGS,Euro area (19 countries),01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301.499,1434.882,1593.517,1683.159,1864.89,1978.983,2090.154,2462.122,2576.044,2615.405,2615.703,2847.99,3063.152,3398.29,3688.836,3812.388,3224.516,3689.889,4066.612,4241.746,4306.167,4465.562,4779.114,4859.406,5233.335,5500.087,5713.94,5153.376,6082.553,7354.918,7334.383,7503.166,7798.18,8154.841,,,,,,,
EA20.1.0.0.0.UXGS,EA20,1,0,0,0,UXGS,Euro area,01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598.247,1688.893,1871.476,1985.678,2096.836,2470.413,2585.675,2625.728,2626.728,2860.349,3076.561,3413.542,3705.48,3829.856,3239.238,3706.215,4084.024,4259.111,4323.849,4484.344,4799.779,4881.585,5257.893,5526.132,5742.097,5174.312,6111.622,7395.145,7375.696,7545.959,7843.203,8202.151,,,,,,,
EA12.1.0.0.0.UXGS,EA12,1,0,0,0,UXGS,Euro area (12 countries),01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217.282,1264.452,1279.305,1409.239,1565.018,1652.078,1827.955,1941.146,2052.463,2415.932,2524.996,2560.451,2555.997,2777.695,2980.132,3298.121,3569.447,3679.543,3115.416,3559.051,3913.462,4074.818,4133.502,4290.207,4596.119,4668.774,5022.267,5270.868,5473.759,4926.217,5811.583,7020.883,7000.033,7161.117,7436.073,7771.726,,,,,,,
DU15.1.0.0.0.UXGS,DU15,1,0,0,0,UXGS,EU15 (including D_W West-Germany),01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",61.773,65.361,68.982,75.022,83.619,92.046,101.263,107.657,123.084,143.372,166.949,185.389,206.285,252.69,339.538,354.102,426.81,482.019,522.185,607.277,689.356,799.34,873.449,940.426,1083.231,1175.434,1119.775,1149.224,1251.053,1425.501,1525.348,1621.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
DA12.1.0.0.0.UXGS,DA12,1,0,0,0,UXGS,EA12 (including D_W West-Germany),01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,"Mrd ECU/EUR, Standard aggregation",42.636,45.561,48.511,53.04,59.934,66.642,73.858,79.394,91.974,108.02,126.32,140.498,159.714,198.216,267.533,277.256,336.475,380.019,413.617,478.807,535.982,619.489,680.198,733.994,846.168,914.256,890.847,911.139,993.034,1137.269,1226.959,1312.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
BEL.1.0.0.0.UXGS,BEL,1,0,0,0,UXGS,Belgium,01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,Mrd EURO-BEF,4.9381,5.4205,6.03,6.6649,7.5998,8.1718,9.1258,9.5621,10.7464,12.965,14.9735,15.968,18.0495,22.3282,28.8122,27.6439,33.2397,35.0886,36.3392,42.4153,46.0773,52.1137,60.6063,66.7408,76.9018,79.3034,76.1342,77.2453,87.8857,101.9681,104.8029,107.3278,110.0438,108.1316,118.6651,126.5342,131.1274,145.1877,149.2848,156.4412,185.9944,189.2954,193.5507,194.1308,210.4638,230.3047,249.7326,269.0598,284.492,238.5325,275.4405,304.0241,310.5379,311.3973,321.5228,323.6116,341.1375,369.9985,383.5978,397.7831,367.2762,453.5466,536.8756,501.8872,498.0946,515.4285,538.9005,,,,,,,
BGR.1.0.0.0.UXGS,BGR,1,0,0,0,UXGS,Bulgaria,01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,Mrd BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0534,0.0857,0.1034,0.2143,0.4126,1.0607,9.4355,11.0977,10.7058,10.1865,10.8086,11.4632,12.6097,16.8747,19.9962,25.1841,33.2426,38.2284,30.8964,37.5172,47.6927,49.8719,53.1069,54.318,57.1344,60.891,68.7879,72.1981,76.9587,68.323,86.3029,117.8135,114.6317,113.987,119.4776,125.1043,,,,,,,
CZE.1.0.0.0.UXGS,CZE,1,0,0,0,UXGS,Czechia,01 Exports of goods and services,Exports of goods and services at current prices (National accounts) ,Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.519,374.885,428.524,511.631,523.232,641.886,697.553,793.328,906.893,963.383,1147.59,1260.071,1211.053,1319.344,1756.929,2030.936,2290.674,2551.181,2545.047,2307.165,2617.047,2877.013,3093.106,3150.955,3561.541,3722.035,3782.81,4023.544,4140.22,4247.338,3949.325,4450.124,5104.772,5254.773,5527.871,5815.778,6156.708,,,,,,,
