SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
DNK.1.0.0.0.NET1,DNK,1,0,0,0,NET1,Denmark,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,298.68,287.46,275.3,263.45,250.14,237.01,229.62,228.22,221.55,217.23,215.09,209.51,202.25,195.7,187.85,181,179.79,178.23,174.57,170.05,164.24,161.92,148.48,140.83,133.09,130.06,127.46,120.87,112.29,109.4,104.85,101.32,97.51,92.87,89.98,86.98,86.88,83.92,79.86,77.72,75.02,73.4,73.91,72.04,70.8,69.28,68.65,67.88,69.6,71.66,70.06,70.89,70.41,68.96,68.76,65.39,65.76,65.28,NA,NA,NA,,,,,,,
DEU.1.0.0.0.NET1,DEU,1,0,0,0,NET1,Germany,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175,1037,960,921,865,810,786,778,773,765,734,716,705,703,679,663,664,659,653,645,651,649,642,640,635,624,608,606,599,586,577,576,572,NA,NA,NA,,,,,,,
D_W.1.0.0.0.NET1,D_W,1,0,0,0,NET1,West Germany,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,3554.087,3423.079,3282.146,3120.371,2979.439,2854.385,2769.032,2618.174,2504.038,2377,2245,2111,2022,1936,1839,1745,1615,1536,1498,1417,1411,1377,1333,1296,1260,1224,1209,1166,1124,1081,1054,1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
EST.1.0.0.0.NET1,EST,1,0,0,0,NET1,Estonia,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.53,156.244,137.875,112.238,96.189,64.9,60.8,57.8,54.4,46.5,38.7,38.2,39.8,36.9,34.6,30.8,30.8,29.9,25,22.5,22.8,25.7,26.5,24.9,22.6,24.3,24.5,22.3,22.21,21.54,19.32,16.82,17.2,17.9,NA,NA,NA,,,,,,,
IRL.1.0.0.0.NET1,IRL,1,0,0,0,NET1,Ireland,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,379.609,368.902,361.115,353.328,344.568,330.941,325.101,311.474,301.741,290.06,275.46,264.753,257.94,248.206,237.499,231.659,225.819,221.925,219.979,215.112,203.432,190.778,187.858,183.964,176.178,166.444,163.524,159.63,160.604,157.684,164.497,150.87,149.897,140.163,138.217,139.19,138.04,137.39,136.78,140.97,129.32,124.84,121.03,116.96,115.44,112.7,112.85,112.17,116.16,112.47,110.5,107.85,108.77,111.91,108.17,109.4,112.43,111.29,108.29,104.1,104.29,109.6,104.16,108.14,NA,NA,NA,,,,,,,
GRC.1.0.0.0.NET1,GRC,1,0,0,0,NET1,Greece,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1063.096,992.321,1040.813,1024.42,1017.844,1007.144,952.86,954.136,912.81,872.858,791.678,791.776,779.309,775.187,767.53,755.34,727.59,726.92,728.89,698.46,648.57,637.92,621.41,551.55,557.87,550.49,539.81,537.84,551.45,544.21,532.64,530,527.58,530.28,511.75,499.83,503.29,507.27,498.65,481.1,504.55,507.78,518.22,NA,NA,NA,,,,,,,
ESP.1.0.0.0.NET1,ESP,1,0,0,0,NET1,Spain,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935.516,1822.626,1779.34,1771.462,1707.32,1651.805,1541.591,1506.201,1489.631,1393.292,1346.201,1219.25,1134.242,1076.848,1033.784,990.6,1014.7,993.4,994.5,967.5,991,999.8,995.4,990.1,970.4,954.5,905.5,888.9,856.9,815.8,826.1,803.4,778.9,770.2,777.1,784.9,819.5,839,838.6,824.8,776.8,804.2,796.6,775.6,NA,NA,NA,,,,,,,
FRA.1.0.0.0.NET1,FRA,1,0,0,0,NET1,France,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,4294.315,4134.266,3984.22,3841.176,3701.133,3562.091,3430.05,3304.012,3157.967,2988.915,2838.869,2699.827,2558.783,2435.746,2332.714,2240.686,2161.662,2083.638,2019.618,1967.602,1905.583,1835.562,1770.542,1708.523,1651.506,1593.488,1538.471,1480.453,1425.436,1369.419,1306.4,1251.3,1202,1144.2,1093,1060.1,1032.6,1013.2,997.4,974.6,938.8,915.1,888.4,867.4,868.3,856,829,805.6,780.7,760.5,745.3,739.8,735.5,738.7,742.7,739.8,733.5,730,731.1,730.3,723.7,710.8,706.6,710.3,NA,NA,NA,,,,,,,
HRV.1.0.0.0.NET1,HRV,1,0,0,0,NET1,Croatia,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.06,228.06,228.4,227.76,228.1,233.15,225.81,228.6,233.36,229.18,231.77,230.96,229.44,227.18,234.37,241.2,237.25,192.09,164.47,149,146.37,120.9,113.42,103.64,80.23,83.78,86.32,78.14,65.57,NA,NA,NA,,,,,,,
ITA.1.0.0.0.NET1,ITA,1,0,0,0,NET1,Italy,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,6780.527,6400.978,5994.018,5455.151,5122.862,5106.164,4797.924,4689.962,4370.8,4136.392,3786.039,3782.071,3476.219,3373.26,3266.334,3094.705,3057.961,2913.253,2863.19,2778.179,2698.268,2522.483,2350.665,2329.601,2183.003,2048.591,1975.858,1891.414,1767.58,1666.416,1596.234,1551.651,1491.859,1376.23,1298.542,1243.2,1193.2,1176.7,1120.2,1058.9,1047.3,1053.7,1030.1,992.5,999.5,982.3,1000.6,968.2,946.1,924.7,942,925,912.7,895,903.2,921.5,952,940.9,964.4,959.3,939.6,937.8,943.5,929.8,NA,NA,NA,,,,,,,
