SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.0.0.UYVC,EU27,1,0,0,0,UYVC,European Union,01 Revenue,Other subsidies on production: corporations ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.477,66.027,71.136,73.35,74.323,74.658,80.223,94.356,97.08,102.202,111.306,113.863,118.091,123.311,136.989,148.277,151.945,155.959,159.948,159.719,152.536,277.014,287.808,198.546,193.007,NA,NA,NA,,,,,,,
EU15.1.0.0.0.UYVC,EU15,1,0,0,0,UYVC,European Union (15 countries),01 Revenue,Other subsidies on production: corporations ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.8988,196.8339,174.7831,171.8454,178.2249,,,,,,,
EA19.1.0.0.0.UYVC,EA19,1,0,0,0,UYVC,Euro area (19 countries),01 Revenue,Other subsidies on production: corporations ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5365,63.179,58.7506,61.9437,58.7694,59.7903,65.2353,67.2579,67.9644,68.1708,72.3004,85.3977,87.5287,91.5473,100.042,101.7548,105.3373,109.2891,122.8109,134.4052,137.8534,141.4028,145.2285,143.9725,135.5587,239.1483,259.1735,179.6824,172.092,NA,NA,NA,,,,,,,
EA20.1.0.0.0.UYVC,EA20,1,0,0,0,UYVC,Euro area,01 Revenue,Other subsidies on production: corporations ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.943,59.969,65.462,67.489,68.113,68.257,72.652,85.913,88.06,89.121,96.927,98.846,102.465,107.028,121.249,133.829,137.206,140.919,144.217,143.162,134.823,239.66,259.379,179.32,171.635,NA,NA,NA,,,,,,,
EA12.1.0.0.0.UYVC,EA12,1,0,0,0,UYVC,Euro area (12 countries),01 Revenue,Other subsidies on production: corporations ,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5792,62.2987,57.6774,61.053,57.9349,58.9934,64.4391,66.473,67.0662,67.0056,71.347,84.2702,85.9957,89.3312,98.0164,99.5094,103.5377,107.523,120.7528,132.4588,135.9134,139.5365,143.1777,141.8517,133.3745,233.4865,253.6206,176.3001,168.2329,146.713,142.9709,148.095,,,,,,,
BEL.1.0.0.0.UYVC,BEL,1,0,0,0,UYVC,Belgium,01 Revenue,Other subsidies on production: corporations ,Mrd EURO-BEF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3105,1.3149,1.296,1.4807,1.2074,1.0734,1.1933,1.2761,1.2234,1.1448,2.1118,2.4226,2.1834,2.346,2.4645,2.4596,2.5799,2.6839,2.9273,3.3339,4.1278,5.4814,6.4884,7.5365,8.1483,9.3758,10.0074,10.2782,10.6967,11.007,11.2567,11.3688,11.5818,12.0731,12.8467,16.8815,16.6524,16.644,17.722,17.48301,18.20829,18.8326,,,,,,,
BGR.1.0.0.0.UYVC,BGR,1,0,0,0,UYVC,Bulgaria,01 Revenue,Other subsidies on production: corporations ,Mrd BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00084,0.00129,0.01991,0.05589,0.084,0.05084,0.06106,0.04111,0.07205,0.10481,0.09339,0.09814,0.1113,0.11866,0.11076,0.0806,0.08044,0.1075,0.54621,0.35901,1.42299,1.5637,1.55183,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
CZE.1.0.0.0.UYVC,CZE,1,0,0,0,UYVC,Czechia,01 Revenue,Other subsidies on production: corporations ,Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.627,13.387,19.761,32.774,32.891,30.209,36.424,25.389,26.701,24.961,31.377,33.058,35.071,35.909,42.916,38.814,38.847,39.735,39.389,39.748,39.689,41.132,39.221,46.724,50.02,86.311,103.662,65.593,86.277,69.7352,71.1136,72.5378,,,,,,,
DNK.1.0.0.0.UYVC,DNK,1,0,0,0,UYVC,Denmark,01 Revenue,Other subsidies on production: corporations ,Mrd DKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.131,3.07,4.017,5.631,4.628,4.247,4.112,7.644,9.172,10.479,9.817,14.22,10.582,11.785,12.743,14.185,13.768,13.278,11.343,10.146,9.955,10.774,10.197,10.668,11.578,12.666,13.123,13.224,19.677,20.223,19.616,19.651,19.067,17.499,17.807,16.661,16.078,19.027,17.869,50.137,40.88,20.808,18.313,18.8081,19.22487,19.48058,,,,,,,
DEU.1.0.0.0.UYVC,DEU,1,0,0,0,UYVC,Germany,01 Revenue,Other subsidies on production: corporations ,Mrd EURO-DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.64,20.446,19.404,25.157,27.973,32.013,29.457,30.995,26.286,27.373,27.223,26.606,25.446,25.249,28.439,31.242,30.501,31.45,35.705,34.547,36.422,38.633,41.164,44.273,46.673,47.364,47.589,47.349,51.987,80.52,88.377,49.721,53.368,42.7946,36.95612,37.24334,,,,,,,
